date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2008%20Feb%202025%2009:03:04%20GMT	https://pouyaeti.com/robots.txt		(from )
01:03:04	105203/105203	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2009:03:04%20GMT	https://pouyaeti.com/digital-marketing-course-workstation/	C:/My%20Web%20Sites/Digitalmarketing/pouyaeti.com/digital-marketing-course-workstation/index.html	(from )
01:03:05	9015/9015	---M--	200	added ('OK')	text/css	etag:%220bd5d86772c6bb83d56e89b456325b5e%22	https://django-pouyaeti-staticfiles.s3.amazonaws.com/static/main.css	C:/My%20Web%20Sites/Digitalmarketing/django-pouyaeti-staticfiles.s3.amazonaws.com/static/main.css	(from https://pouyaeti.com/digital-marketing-course-workstation/)
01:03:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2008%20Feb%202025%2009:03:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Digitalmarketing/www.googletagmanager.com/gtm.15445.delayed	(from https://pouyaeti.com/digital-marketing-course-workstation/)
01:03:07	9438/9438	---M--	200	added ('OK')	text/css	etag:%22ffb88fb6ac548ac233113753f7bbd421%22	https://django-pouyaeti-staticfiles.s3.amazonaws.com/static/workstation/workstation.css	C:/My%20Web%20Sites/Digitalmarketing/django-pouyaeti-staticfiles.s3.amazonaws.com/static/workstation/workstation.css	(from https://pouyaeti.com/digital-marketing-course-workstation/)
01:03:07	39249/39249	---M-Z	200	added ('OK')	application/javascript	etag:W/%229951-7TSeo/nRe5E6oKLpSsj1MbHD5do%22	https://cdn.jsdelivr.net/npm/marked/marked.min.js	C:/My%20Web%20Sites/Digitalmarketing/cdn.jsdelivr.net/npm/marked/marked.min.js	(from https://pouyaeti.com/digital-marketing-course-workstation/)
01:03:08	245500/245500	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2008%20Feb%202025%2009:03:08%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Digitalmarketing/connect.facebook.net/en_US/fbevents.js	(from https://pouyaeti.com/digital-marketing-course-workstation/)
01:03:10	56614/56614	---M--	200	added ('OK')	image/png	etag:%22c282797a3f27e5f853b40e3c5f1fc0e2%22	https://django-pouyaeti-staticfiles.s3.amazonaws.com/media/document_thumbnails/marketing-research-isometric-icon.png	C:/My%20Web%20Sites/Digitalmarketing/django-pouyaeti-staticfiles.s3.amazonaws.com/media/document_thumbnails/marketing-research-isometric-icon.png	(from https://pouyaeti.com/digital-marketing-course-workstation/)
01:03:11	49159/49159	---M--	200	added ('OK')	image/png	etag:%224c51f8c99c2d1acff77df62e2cc58f8f%22	https://django-pouyaeti-staticfiles.s3.amazonaws.com/media/document_thumbnails/complete-market-research-tutorial.png	C:/My%20Web%20Sites/Digitalmarketing/django-pouyaeti-staticfiles.s3.amazonaws.com/media/document_thumbnails/complete-market-research-tutorial.png	(from https://pouyaeti.com/digital-marketing-course-workstation/)
01:03:12	56710/56710	---M--	200	added ('OK')	image/png	etag:%2225b8dd9bdb2c94b0422e2d03cadf52dd%22	https://django-pouyaeti-staticfiles.s3.amazonaws.com/media/document_thumbnails/Ai-isometric-icon-chatgpt.png	C:/My%20Web%20Sites/Digitalmarketing/django-pouyaeti-staticfiles.s3.amazonaws.com/media/document_thumbnails/Ai-isometric-icon-chatgpt.png	(from https://pouyaeti.com/digital-marketing-course-workstation/)
